Number of Sprites:,539,,,,,,,,,,,,
Label:,Integer Address:,Texture:,Left:,Top:,Width:,Height:,Origin X:,Origin Y:,Scale X:,Scale Y:,Scale By:,Comment:,
NULL,0,NULL,0,0,128,128,0,0,1,1,None,Exception,
LAYOUT_480,1,LAYOUT_480,0,0,720,480,0,0,1,1,None,The root of the widget tree,
LAYOUT_720,2,LAYOUT_720,0,0,1280,720,0,0,1,1,None,The root of the widget tree,
LAYOUT_1080,3,LAYOUT_1080,0,0,1920,1080,0,0,1,1,None,The root of the widget tree,
SPHERE,4,SPHERE,0,0,52,52,0,0,1,1,Widget,A simple asset,
VIEWPORT_480,5,VIEWPORT_480,0,0,466,456,0,0,1,1,None,Window into game world,
VIEWPORT_720,6,VIEWPORT_720,0,0,829,678,0,0,1,1,None,Window into game world,
VIEWPORT_1080,7,VIEWPORT_1080,0,0,1260,1038,0,0,1,1,None,Window into game world,
KITTY_0,8,KITTY,0,0,480,461,242,440,0.2,0.2,Widget,Animation,
KITTY_1,9,KITTY,480,0,480,461,242,440,0.2,0.2,Widget,Animation,
KITTY_2,10,KITTY,960,0,480,461,242,440,0.2,0.2,Widget,Animation,
KITTY_3,11,KITTY,1440,0,480,461,242,440,0.2,0.2,Widget,Animation,
KITTY_4,12,KITTY,1920,0,480,461,242,440,0.2,0.2,Widget,Animation,
KITTY_5,13,KITTY,2400,0,480,461,242,440,0.2,0.2,Widget,Animation,
KITTY_6,14,KITTY,2880,0,480,461,242,440,0.2,0.2,Widget,Animation,
KITTY_7,15,KITTY,3360,0,480,461,242,440,0.2,0.2,Widget,Animation,
KITTY_8,16,KITTY,3840,0,480,461,242,440,0.2,0.2,Widget,Animation,
KITTY_9,17,KITTY,0,461,480,461,242,440,0.2,0.2,Widget,Animation,
KITTY_10,18,KITTY,480,461,480,461,242,440,0.2,0.2,Widget,Animation,
KITTY_11,19,KITTY,960,461,480,461,242,440,0.2,0.2,Widget,Animation,
KITTY_12,20,KITTY,1440,461,480,461,242,440,0.2,0.2,Widget,Animation,
KITTY_13,21,KITTY,1920,461,480,461,242,440,0.2,0.2,Widget,Animation,
KITTY_14,22,KITTY,2400,461,480,461,242,440,0.2,0.2,Widget,Animation,
KITTY_15,23,KITTY,2880,461,480,461,242,440,0.2,0.2,Widget,Animation,
KITTY_16,24,KITTY,3360,461,480,461,242,440,0.2,0.2,Widget,Animation,
KITTY_17,25,KITTY,3840,461,480,461,242,440,0.2,0.2,Widget,Animation,
KITTY_18,26,KITTY,0,922,480,461,242,440,0.2,0.2,Widget,Animation,
KITTY_19,27,KITTY,480,922,480,461,242,440,0.2,0.2,Widget,Animation,
KITTY_20,28,KITTY,960,922,480,461,242,440,0.2,0.2,Widget,Animation,
KITTY_21,29,KITTY,1440,922,480,461,242,440,0.2,0.2,Widget,Animation,
KITTY_22,30,KITTY,1920,922,480,461,242,440,0.2,0.2,Widget,Animation,
KITTY_23,31,KITTY,2400,922,480,461,242,440,0.2,0.2,Widget,Animation,
KITTY_24,32,KITTY,2880,922,480,461,242,440,0.2,0.2,Widget,Animation,
KITTY_25,33,KITTY,3360,922,480,461,242,440,0.2,0.2,Widget,Animation,
KITTY_26,34,KITTY,3840,922,480,461,242,440,0.2,0.2,Widget,Animation,
KITTY_27,35,KITTY,0,1383,480,461,242,440,0.2,0.2,Widget,Animation,
KITTY_28,36,KITTY,480,1383,480,461,242,440,0.2,0.2,Widget,Animation,
KITTY_29,37,KITTY,960,1383,480,461,242,440,0.2,0.2,Widget,Animation,
KITTY_30,38,KITTY,1440,1383,480,461,242,440,0.2,0.2,Widget,Animation,
KITTY_31,39,KITTY,1920,1383,480,461,242,440,0.2,0.2,Widget,Animation,
KITTY_32,40,KITTY,2400,1383,480,461,242,440,0.2,0.2,Widget,Animation,
KITTY_33,41,KITTY,2880,1383,480,461,242,440,0.2,0.2,Widget,Animation,
KITTY_34,42,KITTY,3360,1383,480,461,242,440,0.2,0.2,Widget,Animation,
KITTY_35,43,KITTY,3840,1383,480,461,242,440,0.2,0.2,Widget,Animation,
KITTY_36,44,KITTY,0,1844,480,461,242,440,0.2,0.2,Widget,Animation,
KITTY_37,45,KITTY,480,1844,480,461,242,440,0.2,0.2,Widget,Animation,
KITTY_38,46,KITTY,960,1844,480,461,242,440,0.2,0.2,Widget,Animation,
KITTY_39,47,KITTY,1440,1844,480,461,242,440,0.2,0.2,Widget,Animation,
KITTY_40,48,KITTY,1920,1844,480,461,242,440,0.2,0.2,Widget,Animation,
KITTY_41,49,KITTY,2400,1844,480,461,242,440,0.2,0.2,Widget,Animation,
KITTY_42,50,KITTY,2880,1844,480,461,242,440,0.2,0.2,Widget,Animation,
KITTY_43,51,KITTY,3360,1844,480,461,242,440,0.2,0.2,Widget,Animation,
