NULL, I've got a lovely bunch of coconuts
NULL, There they are, all standing in a row
NULL, Big ones, small ones, some as big as your head
STANDARD,TEST,1,2,3,4,5,6,7,8,NULL,NULL,NULL
SKELLY,TEST,10000,10000,0,10200,10200,0,0,193,SKELLY_SERVER,SKELLY_MOVEABLE,SKELLY_GRAPHICS
TREE,TREE,4024,503
TREE,TREE,8048,1006
TREE,TREE,12072,1509
TREE,TREE,16096,2012
TREE,TREE,20120,2515
TREE,TREE,24144,3018
TREE,TREE,28168,3521
TREE,TREE,0,4024
TREE,TREE,4024,4527
TREE,TREE,8048,5030
TREE,TREE,12072,5533
TREE,TREE,16096,6036
TREE,TREE,20120,6539
TREE,TREE,24144,7042
TREE,TREE,28168,7545
TREE,TREE,0,8048
TREE,TREE,4024,8551
TREE,TREE,8048,9054
TREE,TREE,12072,9557
TREE,TREE,16096,10060
TREE,TREE,20120,10563
TREE,TREE,24144,11066
TREE,TREE,28168,11569
TREE,TREE,0,12072
TREE,TREE,4024,12575
TREE,TREE,8048,13078
TREE,TREE,12072,13581
TREE,TREE,16096,14084
TREE,TREE,20120,14587
TREE,TREE,24144,15090
TREE,TREE,28168,15593
TREE,TREE,0,16096
TREE,TREE,4024,16599
TREE,TREE,8048,17102
TREE,TREE,12072,17605
TREE,TREE,16096,18108
TREE,TREE,20120,18611
TREE,TREE,24144,19114
TREE,TREE,28168,19617
TREE,TREE,0,20120
TREE,TREE,4024,20623
TREE,TREE,8048,21126
TREE,TREE,12072,21629
TREE,TREE,16096,22132
TREE,TREE,20120,22635
TREE,TREE,24144,23138
TREE,TREE,28168,23641
TREE,TREE,0,24144
TREE,TREE,4024,24647
TREE,TREE,8048,25150
TREE,TREE,12072,25653
TREE,TREE,16096,26156
TREE,TREE,20120,26659
TREE,TREE,24144,27162
TREE,TREE,28168,27665
TREE,TREE,0,28168
TREE,TREE,4024,28671
TREE,TREE,8048,29174
TREE,TREE,12072,29677
TREE,TREE,16096,30180
TREE,TREE,20120,30683
TREE,TREE,24144,31186
TREE,TREE,28168,31689
TREE,TREE,0,32192
