Number of Compositions:,8,,,,,,
,,,,,,,
Label:,NULL,Integer Address:,0,num:,1,Comment,Void Composition
Type:,Key:,Drawfunction:,startTime,Offest X:,Offset Y:,Frame Rate:,
ANIMATION,0,ANIMATION_DEFAULT,0,0,0,0,
,,,,,,,
Label:,KITTIES,Integer Address:,1,num:,3,Comment:,This is a composition of KITTY animations
Type:,Key:,Drawfunction:,startTime,Offest X:,Offset Y:,Frame Rate:,
ANIMATION,KITTY,ANIMATION_DEFAULT,0,0,0,0.9,
ANIMATION,KITTY,ANIMATION_DEFAULT,12,1000,0,1,
ANIMATION,KITTY,ANIMATION_DEFAULT,24,2000,0,1.1,
,,,,,,,
Label:,KITTIESX,Integer Address:,2,num:,3,Comment:,This is a composition of KITTY compositions
Type:,Key:,Drawfunction:,startTime,Offest X:,Offset Y:,Frame Rate:,
COMPOSITION,KITTIES,COMPOSITION,0,0,0,0.98,
COMPOSITION,KITTIES,COMPOSITION,0,0,800,1,
COMPOSITION,KITTIES,COMPOSITION,0,0,1600,1.02,
,,,,,,,,
Label:,BUTTON,Integer Address:,3,num:,4,Comment:,Displays the button differently depending on state
Type:,Key:,Drawfunction:,startTime,Offest X:,Offset Y:,Frame Rate:,
SPRITE,CONNECT_DEFAULT,WIDGET_SPRITE,0,0,0,0,
SPRITE,CONNECT_HOVER,WIDGET_SPRITE,0,0,0,0,
SPRITE,CONNECT_CLICK,WIDGET_SPRITE,0,0,0,0,
SPRITE,CONNECT_CLICK,WIDGET_SPRITE,0,0,0,0,
,,,,,,,
Label:,TREE,Integer Address:,4,num:,3,Comment,Test Composition
Type:,Key:,Drawfunction:,startTime,Offest X:,Offset Y:,Frame Rate:,
SPRITE,TREE,DRAWABLE_SPRITE,0,0,0,0,
ANIMATION,LIGHTS,DRAWABLE_ANIMATION,0,0,0,1,
SPRITE,SHADOW1,DRAWABLE_SHADOW,0,0,0,0,
,,,,,,,
Label:,TUX,Integer Address:,5,num:,4,Comment,Testing conditional rendering
Type:,Key:,Drawfunction:,startTime,Offest X:,Offset Y:,Frame Rate:,
ANIMATION,SKELETON,UNIT_STILL_ANGLE,0,0,0,1,
ANIMATION,SKELETON,UNIT_ANIMATION_ANGLE,0,0,0,1,
ANIMATION,KITTY,NONE,0,0,0,1,
ANIMATION,SKELETON_DEATH,DRAWABLE_ANIMATION_ONCE,0,0,0,1,
,,,,,,,
Label:,ZOMBIE,Integer Address:,6,num:,2,Comment,Testing conditional rendering
Type:,Key:,Drawfunction:,startTime,Offest X:,Offset Y:,Frame Rate:,
ANIMATION,ZOMBIE,UNIT_STILL_ANGLE,0,0,0,1,
ANIMATION,ZOMBIE,UNIT_ANIMATION_ANGLE,0,0,0,1,
,,,,,,,
Label:,FIREBALL,Integer Address:,7,num:,4,Comment,Testing conditional rendering
Type:,Key:,Drawfunction:,startTime,Offest X:,Offset Y:,Frame Rate:,
ANIMATION,KITTY,NONE,0,0,0,1,
ANIMATION,FIREBALL,UNIT_ANIMATION_ANGLE,0,0,0,1,
ANIMATION,FIREBALL_LARGE,UNIT_STILL_ANGLE,0,0,0,1,
ANIMATION,FIREBALL_LARGE,NONE,0,0,0,1,

,,,,,,,
